"denominazione_regione","Capienza","data"
"Sicilia",832,2021-02-17
"Toscana",612,2021-02-17
"Trentino-Alto Adige",167,2021-02-17
"Umbria",130,2021-02-17
"Valle d'Aosta",33,2021-02-17
"Veneto",1000,2021-02-17
"Abruzzo",183,2021-02-18
"Basilicata",90,2021-02-18
"Calabria",152,2021-02-18
"Campania",590,2021-02-18
"Emilia-Romagna",747,2021-02-18
"Friuli Venezia Giulia",175,2021-02-18
"Lazio",943,2021-02-18
"Liguria",227,2021-02-18
"Lombardia",1459,2021-02-18
"Marche",196,2021-02-18
"Molise",34,2021-02-18
"Piemonte",628,2021-02-18
"Puglia",452,2021-02-18
"Sardegna",181,2021-02-18
"Sicilia",832,2021-02-18
"Toscana",612,2021-02-18
"Trentino-Alto Adige",167,2021-02-18
"Umbria",130,2021-02-18
"Valle d'Aosta",33,2021-02-18
"Veneto",1000,2021-02-18
"Abruzzo",183,2021-02-19
"Basilicata",90,2021-02-19
"Calabria",152,2021-02-19
"Campania",590,2021-02-19
"Emilia-Romagna",747,2021-02-19
"Friuli Venezia Giulia",175,2021-02-19
"Lazio",943,2021-02-19
"Liguria",227,2021-02-19
"Lombardia",1459,2021-02-19
"Marche",196,2021-02-19
"Molise",34,2021-02-19
"Piemonte",628,2021-02-19
"Puglia",452,2021-02-19
"Sardegna",181,2021-02-19
"Sicilia",832,2021-02-19
"Toscana",612,2021-02-19
"Trentino-Alto Adige",167,2021-02-19
"Umbria",130,2021-02-19
"Valle d'Aosta",33,2021-02-19
"Veneto",1000,2021-02-19
"Abruzzo",183,2021-02-20
"Basilicata",90,2021-02-20
"Calabria",152,2021-02-20
"Campania",590,2021-02-20
"Emilia-Romagna",747,2021-02-20
"Friuli Venezia Giulia",175,2021-02-20
"Lazio",943,2021-02-20
"Liguria",227,2021-02-20
"Lombardia",1459,2021-02-20
"Marche",196,2021-02-20
"Molise",34,2021-02-20
"Piemonte",628,2021-02-20
"Puglia",452,2021-02-20
"Sardegna",181,2021-02-20
"Sicilia",832,2021-02-20
"Toscana",612,2021-02-20
"Trentino-Alto Adige",167,2021-02-20
"Umbria",130,2021-02-20
"Valle d'Aosta",33,2021-02-20
"Veneto",1000,2021-02-20
"Abruzzo",183,2021-02-21
"Basilicata",90,2021-02-21
"Calabria",152,2021-02-21
"Campania",590,2021-02-21
"Emilia-Romagna",747,2021-02-21
"Friuli Venezia Giulia",175,2021-02-21
"Lazio",943,2021-02-21
"Liguria",227,2021-02-21
"Lombardia",1459,2021-02-21
"Marche",196,2021-02-21
"Molise",34,2021-02-21
"Piemonte",628,2021-02-21
"Puglia",452,2021-02-21
"Sardegna",181,2021-02-21
"Sicilia",832,2021-02-21
"Toscana",612,2021-02-21
"Trentino-Alto Adige",167,2021-02-21
"Umbria",130,2021-02-21
"Valle d'Aosta",33,2021-02-21
"Veneto",1000,2021-02-21
"Abruzzo",183,2021-02-22
"Basilicata",90,2021-02-22
"Calabria",152,2021-02-22
"Campania",590,2021-02-22
"Emilia-Romagna",747,2021-02-22
"Friuli Venezia Giulia",175,2021-02-22
"Lazio",943,2021-02-22
"Liguria",227,2021-02-22
"Lombardia",1459,2021-02-22
"Marche",196,2021-02-22
"Molise",34,2021-02-22
"Piemonte",628,2021-02-22
"Puglia",452,2021-02-22
"Sardegna",181,2021-02-22
"Sicilia",832,2021-02-22
"Toscana",612,2021-02-22
"Trentino-Alto Adige",167,2021-02-22
"Umbria",130,2021-02-22
"Valle d'Aosta",33,2021-02-22
"Veneto",1000,2021-02-22
"Abruzzo",183,2021-02-23
"Basilicata",90,2021-02-23
"Calabria",152,2021-02-23
"Campania",590,2021-02-23
"Emilia-Romagna",747,2021-02-23
"Friuli Venezia Giulia",175,2021-02-23
"Lazio",943,2021-02-23
"Liguria",227,2021-02-23
"Lombardia",1459,2021-02-23
"Marche",196,2021-02-23
"Molise",34,2021-02-23
"Piemonte",628,2021-02-23
"Puglia",452,2021-02-23
"Sardegna",181,2021-02-23
"Sicilia",832,2021-02-23
"Toscana",612,2021-02-23
"Trentino-Alto Adige",167,2021-02-23
"Umbria",130,2021-02-23
"Valle d'Aosta",33,2021-02-23
"Veneto",1000,2021-02-23
"Abruzzo",183,2021-02-24
"Basilicata",90,2021-02-24
"Calabria",152,2021-02-24
"Campania",590,2021-02-24
"Emilia-Romagna",747,2021-02-24
"Friuli Venezia Giulia",175,2021-02-24
"Lazio",943,2021-02-24
"Liguria",227,2021-02-24
"Lombardia",1459,2021-02-24
"Marche",196,2021-02-24
"Molise",34,2021-02-24
"Piemonte",628,2021-02-24
"Puglia",452,2021-02-24
"Sardegna",181,2021-02-24
"Sicilia",832,2021-02-24
"Toscana",612,2021-02-24
"Trentino-Alto Adige",167,2021-02-24
"Umbria",130,2021-02-24
"Valle d'Aosta",33,2021-02-24
"Veneto",1000,2021-02-24
"Abruzzo",183,2021-02-25
"Basilicata",90,2021-02-25
"Calabria",152,2021-02-25
"Campania",590,2021-02-25
"Emilia-Romagna",747,2021-02-25
"Friuli Venezia Giulia",175,2021-02-25
"Lazio",943,2021-02-25
"Liguria",227,2021-02-25
"Lombardia",1459,2021-02-25
"Marche",196,2021-02-25
"Molise",34,2021-02-25
"Piemonte",628,2021-02-25
"Puglia",452,2021-02-25
"Sardegna",181,2021-02-25
"Sicilia",832,2021-02-25
"Toscana",612,2021-02-25
"Trentino-Alto Adige",167,2021-02-25
"Umbria",130,2021-02-25
"Valle d'Aosta",33,2021-02-25
"Veneto",1000,2021-02-25
"Abruzzo",183,2021-02-26
"Basilicata",90,2021-02-26
"Calabria",152,2021-02-26
"Campania",590,2021-02-26
"Emilia-Romagna",747,2021-02-26
"Friuli Venezia Giulia",175,2021-02-26
"Lazio",943,2021-02-26
"Liguria",227,2021-02-26
"Lombardia",1459,2021-02-26
"Marche",196,2021-02-26
"Molise",34,2021-02-26
"Piemonte",628,2021-02-26
"Puglia",452,2021-02-26
"Sardegna",181,2021-02-26
"Sicilia",832,2021-02-26
"Toscana",612,2021-02-26
"Trentino-Alto Adige",167,2021-02-26
"Umbria",130,2021-02-26
"Valle d'Aosta",33,2021-02-26
"Veneto",1000,2021-02-26
"Abruzzo",183,2021-02-27
"Basilicata",90,2021-02-27
"Calabria",152,2021-02-27
"Campania",590,2021-02-27
"Emilia-Romagna",747,2021-02-27
"Friuli Venezia Giulia",175,2021-02-27
"Lazio",943,2021-02-27
"Liguria",227,2021-02-27
"Lombardia",1459,2021-02-27
"Marche",196,2021-02-27
"Molise",34,2021-02-27
"Piemonte",628,2021-02-27
"Puglia",452,2021-02-27
"Sardegna",181,2021-02-27
"Sicilia",832,2021-02-27
"Toscana",612,2021-02-27
"Trentino-Alto Adige",167,2021-02-27
"Umbria",130,2021-02-27
"Valle d'Aosta",33,2021-02-27
"Veneto",1000,2021-02-27
"Abruzzo",183,2021-02-28
"Basilicata",90,2021-02-28
"Calabria",152,2021-02-28
"Campania",590,2021-02-28
"Emilia-Romagna",747,2021-02-28
"Friuli Venezia Giulia",175,2021-02-28
"Lazio",943,2021-02-28
"Liguria",227,2021-02-28
"Lombardia",1459,2021-02-28
"Marche",196,2021-02-28
"Molise",34,2021-02-28
"Piemonte",628,2021-02-28
"Puglia",452,2021-02-28
"Sardegna",181,2021-02-28
"Sicilia",832,2021-02-28
"Toscana",612,2021-02-28
"Trentino-Alto Adige",167,2021-02-28
"Umbria",130,2021-02-28
"Valle d'Aosta",33,2021-02-28
"Veneto",1000,2021-02-28
"Abruzzo",183,2021-03-01
"Basilicata",90,2021-03-01
"Calabria",152,2021-03-01
"Campania",590,2021-03-01
"Emilia-Romagna",747,2021-03-01
"Friuli Venezia Giulia",175,2021-03-01
"Lazio",943,2021-03-01
"Liguria",227,2021-03-01
"Lombardia",1459,2021-03-01
"Marche",196,2021-03-01
"Molise",34,2021-03-01
"Piemonte",628,2021-03-01
"Puglia",452,2021-03-01
"Sardegna",181,2021-03-01
"Sicilia",832,2021-03-01
"Toscana",612,2021-03-01
"Trentino-Alto Adige",167,2021-03-01
"Umbria",130,2021-03-01
"Valle d'Aosta",33,2021-03-01
"Veneto",1000,2021-03-01
"Abruzzo",183,2021-03-02
"Basilicata",90,2021-03-02
"Calabria",152,2021-03-02
"Campania",590,2021-03-02
"Emilia-Romagna",747,2021-03-02
"Friuli Venezia Giulia",175,2021-03-02
"Lazio",943,2021-03-02
"Liguria",227,2021-03-02
"Lombardia",1459,2021-03-02
"Marche",196,2021-03-02
"Molise",34,2021-03-02
"Piemonte",628,2021-03-02
"Puglia",452,2021-03-02
"Sardegna",181,2021-03-02
"Sicilia",832,2021-03-02
"Toscana",612,2021-03-02
"Trentino-Alto Adige",167,2021-03-02
"Umbria",130,2021-03-02
"Valle d'Aosta",33,2021-03-02
"Veneto",1000,2021-03-02
"Abruzzo",183,2021-03-03
"Basilicata",90,2021-03-03
"Calabria",152,2021-03-03
"Campania",590,2021-03-03
"Emilia-Romagna",747,2021-03-03
"Friuli Venezia Giulia",175,2021-03-03
"Lazio",943,2021-03-03
"Liguria",227,2021-03-03
"Lombardia",1459,2021-03-03
"Marche",196,2021-03-03
"Molise",34,2021-03-03
"Piemonte",628,2021-03-03
"Puglia",452,2021-03-03
"Sardegna",181,2021-03-03
"Sicilia",832,2021-03-03
"Toscana",612,2021-03-03
"Trentino-Alto Adige",167,2021-03-03
"Umbria",130,2021-03-03
"Valle d'Aosta",33,2021-03-03
"Veneto",1000,2021-03-03
"Abruzzo",183,2021-03-04
"Basilicata",90,2021-03-04
"Calabria",152,2021-03-04
"Campania",590,2021-03-04
"Emilia-Romagna",747,2021-03-04
"Friuli Venezia Giulia",175,2021-03-04
"Lazio",943,2021-03-04
"Liguria",227,2021-03-04
"Lombardia",1459,2021-03-04
"Marche",196,2021-03-04
"Molise",34,2021-03-04
"Piemonte",628,2021-03-04
"Puglia",452,2021-03-04
"Sardegna",181,2021-03-04
"Sicilia",832,2021-03-04
"Toscana",612,2021-03-04
"Trentino-Alto Adige",167,2021-03-04
"Umbria",130,2021-03-04
"Valle d'Aosta",33,2021-03-04
"Veneto",1000,2021-03-04
"Abruzzo",183,2021-03-05
"Basilicata",90,2021-03-05
"Calabria",152,2021-03-05
"Campania",590,2021-03-05
"Emilia-Romagna",747,2021-03-05
"Friuli Venezia Giulia",175,2021-03-05
"Lazio",943,2021-03-05
"Liguria",227,2021-03-05
"Lombardia",1459,2021-03-05
"Marche",196,2021-03-05
"Molise",34,2021-03-05
"Piemonte",628,2021-03-05
"Puglia",452,2021-03-05
"Sardegna",181,2021-03-05
"Sicilia",832,2021-03-05
"Toscana",612,2021-03-05
"Trentino-Alto Adige",167,2021-03-05
"Umbria",130,2021-03-05
"Valle d'Aosta",33,2021-03-05
"Veneto",1000,2021-03-05
"Abruzzo",183,2021-03-06
"Basilicata",90,2021-03-06
"Calabria",152,2021-03-06
"Campania",590,2021-03-06
"Emilia-Romagna",747,2021-03-06
"Friuli Venezia Giulia",175,2021-03-06
"Lazio",943,2021-03-06
"Liguria",227,2021-03-06
"Lombardia",1459,2021-03-06
"Marche",196,2021-03-06
"Molise",34,2021-03-06
"Piemonte",628,2021-03-06
"Puglia",452,2021-03-06
"Sardegna",181,2021-03-06
"Sicilia",832,2021-03-06
"Toscana",612,2021-03-06
"Trentino-Alto Adige",167,2021-03-06
"Umbria",130,2021-03-06
"Valle d'Aosta",33,2021-03-06
"Veneto",1000,2021-03-06
"Abruzzo",183,2021-03-07
"Basilicata",90,2021-03-07
"Calabria",152,2021-03-07
"Campania",590,2021-03-07
"Emilia-Romagna",747,2021-03-07
"Friuli Venezia Giulia",175,2021-03-07
"Lazio",943,2021-03-07
"Liguria",227,2021-03-07
"Lombardia",1459,2021-03-07
"Marche",196,2021-03-07
"Molise",34,2021-03-07
"Piemonte",628,2021-03-07
"Puglia",452,2021-03-07
"Sardegna",181,2021-03-07
"Sicilia",832,2021-03-07
"Toscana",612,2021-03-07
"Trentino-Alto Adige",167,2021-03-07
"Umbria",130,2021-03-07
"Valle d'Aosta",33,2021-03-07
"Veneto",1000,2021-03-07
"Abruzzo",183,2021-03-08
"Basilicata",90,2021-03-08
"Calabria",152,2021-03-08
"Campania",590,2021-03-08
"Emilia-Romagna",747,2021-03-08
"Friuli Venezia Giulia",175,2021-03-08
"Lazio",943,2021-03-08
"Liguria",227,2021-03-08
"Lombardia",1459,2021-03-08
"Marche",196,2021-03-08
"Molise",34,2021-03-08
"Piemonte",628,2021-03-08
"Puglia",452,2021-03-08
"Sardegna",181,2021-03-08
"Sicilia",832,2021-03-08
"Toscana",612,2021-03-08
"Trentino-Alto Adige",167,2021-03-08
"Umbria",130,2021-03-08
"Valle d'Aosta",33,2021-03-08
"Veneto",1000,2021-03-08
"Abruzzo",183,2021-03-09
"Basilicata",90,2021-03-09
"Calabria",152,2021-03-09
"Campania",590,2021-03-09
"Emilia-Romagna",747,2021-03-09
"Friuli Venezia Giulia",175,2021-03-09
"Lazio",943,2021-03-09
"Liguria",227,2021-03-09
"Lombardia",1459,2021-03-09
"Marche",196,2021-03-09
"Molise",34,2021-03-09
"Piemonte",628,2021-03-09
"Puglia",452,2021-03-09
"Sardegna",181,2021-03-09
"Sicilia",832,2021-03-09
"Toscana",612,2021-03-09
"Trentino-Alto Adige",167,2021-03-09
"Umbria",130,2021-03-09
"Valle d'Aosta",33,2021-03-09
"Veneto",1000,2021-03-09
"Abruzzo",183,2021-03-10
"Basilicata",90,2021-03-10
"Calabria",152,2021-03-10
"Campania",590,2021-03-10
"Emilia-Romagna",747,2021-03-10
"Friuli Venezia Giulia",175,2021-03-10
"Lazio",943,2021-03-10
"Liguria",227,2021-03-10
"Lombardia",1459,2021-03-10
"Marche",196,2021-03-10
"Molise",34,2021-03-10
"Piemonte",628,2021-03-10
"Puglia",452,2021-03-10
"Sardegna",181,2021-03-10
"Sicilia",832,2021-03-10
"Toscana",612,2021-03-10
"Trentino-Alto Adige",167,2021-03-10
"Umbria",130,2021-03-10
"Valle d'Aosta",33,2021-03-10
"Veneto",1000,2021-03-10
"Abruzzo",183,2021-03-11
"Basilicata",90,2021-03-11
"Calabria",152,2021-03-11
"Campania",590,2021-03-11
"Emilia-Romagna",747,2021-03-11
"Friuli Venezia Giulia",175,2021-03-11
"Lazio",943,2021-03-11
"Liguria",227,2021-03-11
"Lombardia",1459,2021-03-11
"Marche",196,2021-03-11
"Molise",34,2021-03-11
"Piemonte",628,2021-03-11
"Puglia",452,2021-03-11
"Sardegna",181,2021-03-11
"Sicilia",832,2021-03-11
"Toscana",612,2021-03-11
"Trentino-Alto Adige",167,2021-03-11
"Umbria",130,2021-03-11
"Valle d'Aosta",33,2021-03-11
"Veneto",1000,2021-03-11
"Abruzzo",183,2021-03-12
"Basilicata",90,2021-03-12
"Calabria",152,2021-03-12
"Campania",590,2021-03-12
"Emilia-Romagna",747,2021-03-12
"Friuli Venezia Giulia",175,2021-03-12
"Lazio",943,2021-03-12
"Liguria",227,2021-03-12
"Lombardia",1459,2021-03-12
"Marche",196,2021-03-12
"Molise",34,2021-03-12
"Piemonte",628,2021-03-12
"Puglia",452,2021-03-12
"Sardegna",181,2021-03-12
"Sicilia",832,2021-03-12
"Toscana",612,2021-03-12
"Trentino-Alto Adige",167,2021-03-12
"Umbria",130,2021-03-12
"Valle d'Aosta",33,2021-03-12
"Veneto",1000,2021-03-12
"Abruzzo",183,2021-03-13
"Basilicata",90,2021-03-13
"Calabria",152,2021-03-13
"Campania",590,2021-03-13
"Emilia-Romagna",747,2021-03-13
"Friuli Venezia Giulia",175,2021-03-13
"Lazio",943,2021-03-13
"Liguria",227,2021-03-13
"Lombardia",1459,2021-03-13
"Marche",196,2021-03-13
"Molise",34,2021-03-13
"Piemonte",628,2021-03-13
"Puglia",452,2021-03-13
"Sardegna",181,2021-03-13
"Sicilia",832,2021-03-13
"Toscana",612,2021-03-13
"Trentino-Alto Adige",167,2021-03-13
"Umbria",130,2021-03-13
"Valle d'Aosta",33,2021-03-13
"Veneto",1000,2021-03-13
"Abruzzo",183,2021-03-14
"Basilicata",90,2021-03-14
"Calabria",152,2021-03-14
"Campania",590,2021-03-14
"Emilia-Romagna",747,2021-03-14
"Friuli Venezia Giulia",175,2021-03-14
"Lazio",943,2021-03-14
"Liguria",227,2021-03-14
"Lombardia",1459,2021-03-14
"Marche",196,2021-03-14
"Molise",34,2021-03-14
"Piemonte",628,2021-03-14
"Puglia",452,2021-03-14
"Sardegna",181,2021-03-14
"Sicilia",832,2021-03-14
"Toscana",612,2021-03-14
"Trentino-Alto Adige",167,2021-03-14
"Umbria",130,2021-03-14
"Valle d'Aosta",33,2021-03-14
"Veneto",1000,2021-03-14
"Abruzzo",183,2021-03-15
"Basilicata",90,2021-03-15
"Calabria",152,2021-03-15
"Campania",590,2021-03-15
"Emilia-Romagna",747,2021-03-15
"Friuli Venezia Giulia",175,2021-03-15
"Lazio",943,2021-03-15
"Liguria",227,2021-03-15
"Lombardia",1459,2021-03-15
"Marche",196,2021-03-15
"Molise",34,2021-03-15
"Piemonte",628,2021-03-15
"Puglia",452,2021-03-15
"Sardegna",181,2021-03-15
"Sicilia",832,2021-03-15
"Toscana",612,2021-03-15
"Trentino-Alto Adige",167,2021-03-15
"Umbria",130,2021-03-15
"Valle d'Aosta",33,2021-03-15
"Veneto",1000,2021-03-15
"Abruzzo",183,2021-03-16
"Basilicata",90,2021-03-16
"Calabria",152,2021-03-16
"Campania",590,2021-03-16
"Emilia-Romagna",747,2021-03-16
"Friuli Venezia Giulia",175,2021-03-16
"Lazio",943,2021-03-16
"Liguria",227,2021-03-16
"Lombardia",1459,2021-03-16
"Marche",196,2021-03-16
"Molise",34,2021-03-16
"Piemonte",628,2021-03-16
"Puglia",452,2021-03-16
"Sardegna",181,2021-03-16
"Sicilia",832,2021-03-16
"Toscana",612,2021-03-16
"Trentino-Alto Adige",167,2021-03-16
"Umbria",130,2021-03-16
"Valle d'Aosta",33,2021-03-16
"Veneto",1000,2021-03-16
"Abruzzo",183,2021-03-17
"Basilicata",90,2021-03-17
"Calabria",152,2021-03-17
"Campania",590,2021-03-17
"Emilia-Romagna",747,2021-03-17
"Friuli Venezia Giulia",175,2021-03-17
"Lazio",943,2021-03-17
"Liguria",227,2021-03-17
"Lombardia",1459,2021-03-17
"Marche",196,2021-03-17
"Molise",34,2021-03-17
"Piemonte",628,2021-03-17
"Puglia",452,2021-03-17
"Sardegna",181,2021-03-17
"Sicilia",832,2021-03-17
"Toscana",612,2021-03-17
"Trentino-Alto Adige",167,2021-03-17
"Umbria",130,2021-03-17
"Valle d'Aosta",33,2021-03-17
"Veneto",1000,2021-03-17
"Abruzzo",183,2021-03-18
"Basilicata",90,2021-03-18
"Calabria",152,2021-03-18
"Campania",590,2021-03-18
"Emilia-Romagna",747,2021-03-18
"Friuli Venezia Giulia",175,2021-03-18
"Lazio",943,2021-03-18
"Liguria",227,2021-03-18
"Lombardia",1459,2021-03-18
"Marche",196,2021-03-18
"Molise",34,2021-03-18
"Piemonte",628,2021-03-18
"Puglia",452,2021-03-18
"Sardegna",181,2021-03-18
"Sicilia",832,2021-03-18
"Toscana",612,2021-03-18
"Trentino-Alto Adige",167,2021-03-18
"Umbria",130,2021-03-18
"Valle d'Aosta",33,2021-03-18
"Veneto",1000,2021-03-18
"Abruzzo",183,2021-03-19
"Basilicata",90,2021-03-19
"Calabria",152,2021-03-19
"Campania",590,2021-03-19
"Emilia-Romagna",747,2021-03-19
"Friuli Venezia Giulia",175,2021-03-19
"Lazio",943,2021-03-19
"Liguria",227,2021-03-19
"Lombardia",1459,2021-03-19
"Marche",196,2021-03-19
"Molise",34,2021-03-19
"Piemonte",628,2021-03-19
"Puglia",452,2021-03-19
"Sardegna",181,2021-03-19
"Sicilia",832,2021-03-19
"Toscana",612,2021-03-19
"Trentino-Alto Adige",167,2021-03-19
"Umbria",130,2021-03-19
"Valle d'Aosta",33,2021-03-19
"Veneto",1000,2021-03-19
"Abruzzo",183,2021-03-20
"Basilicata",90,2021-03-20
"Calabria",152,2021-03-20
"Campania",590,2021-03-20
"Emilia-Romagna",747,2021-03-20
"Friuli Venezia Giulia",175,2021-03-20
"Lazio",943,2021-03-20
"Liguria",227,2021-03-20
"Lombardia",1459,2021-03-20
"Marche",196,2021-03-20
"Molise",34,2021-03-20
"Piemonte",628,2021-03-20
"Puglia",452,2021-03-20
"Sardegna",181,2021-03-20
"Sicilia",832,2021-03-20
"Toscana",612,2021-03-20
"Trentino-Alto Adige",167,2021-03-20
"Umbria",130,2021-03-20
"Valle d'Aosta",33,2021-03-20
"Veneto",1000,2021-03-20
"Abruzzo",183,2021-03-21
"Basilicata",90,2021-03-21
"Calabria",152,2021-03-21
"Campania",590,2021-03-21
"Emilia-Romagna",747,2021-03-21
"Friuli Venezia Giulia",175,2021-03-21
"Lazio",943,2021-03-21
"Liguria",227,2021-03-21
"Lombardia",1459,2021-03-21
"Marche",196,2021-03-21
"Molise",34,2021-03-21
"Piemonte",628,2021-03-21
"Puglia",452,2021-03-21
"Sardegna",181,2021-03-21
"Sicilia",832,2021-03-21
"Toscana",612,2021-03-21
"Trentino-Alto Adige",167,2021-03-21
"Umbria",130,2021-03-21
"Valle d'Aosta",33,2021-03-21
"Veneto",1000,2021-03-21
"Abruzzo",183,2021-03-22
"Basilicata",90,2021-03-22
"Calabria",152,2021-03-22
"Campania",590,2021-03-22
"Emilia-Romagna",747,2021-03-22
"Friuli Venezia Giulia",175,2021-03-22
"Lazio",943,2021-03-22
"Liguria",227,2021-03-22
"Lombardia",1459,2021-03-22
"Marche",196,2021-03-22
"Molise",34,2021-03-22
"Piemonte",628,2021-03-22
"Puglia",452,2021-03-22
"Sardegna",181,2021-03-22
"Sicilia",832,2021-03-22
"Toscana",612,2021-03-22
"Trentino-Alto Adige",167,2021-03-22
"Umbria",130,2021-03-22
"Valle d'Aosta",33,2021-03-22
"Veneto",1000,2021-03-22
"Abruzzo",183,2021-03-23
"Basilicata",90,2021-03-23
"Calabria",152,2021-03-23
"Campania",590,2021-03-23
"Emilia-Romagna",747,2021-03-23
"Friuli Venezia Giulia",175,2021-03-23
"Lazio",943,2021-03-23
"Liguria",227,2021-03-23
"Lombardia",1459,2021-03-23
"Marche",196,2021-03-23
"Molise",34,2021-03-23
"Piemonte",628,2021-03-23
"Puglia",452,2021-03-23
"Sardegna",181,2021-03-23
"Sicilia",832,2021-03-23
"Toscana",612,2021-03-23
"Trentino-Alto Adige",167,2021-03-23
"Umbria",130,2021-03-23
"Valle d'Aosta",33,2021-03-23
"Veneto",1000,2021-03-23
"Abruzzo",183,2021-03-24
"Basilicata",90,2021-03-24
"Calabria",152,2021-03-24
"Campania",590,2021-03-24
"Emilia-Romagna",747,2021-03-24
"Friuli Venezia Giulia",175,2021-03-24
"Lazio",943,2021-03-24
"Liguria",227,2021-03-24
"Lombardia",1459,2021-03-24
"Marche",196,2021-03-24
"Molise",34,2021-03-24
"Piemonte",628,2021-03-24
"Puglia",452,2021-03-24
"Sardegna",181,2021-03-24
"Sicilia",832,2021-03-24
"Toscana",612,2021-03-24
"Trentino-Alto Adige",167,2021-03-24
"Umbria",130,2021-03-24
"Valle d'Aosta",33,2021-03-24
"Veneto",1000,2021-03-24
"Abruzzo",183,2021-03-25
"Basilicata",90,2021-03-25
"Calabria",152,2021-03-25
"Campania",590,2021-03-25
"Emilia-Romagna",747,2021-03-25
"Friuli Venezia Giulia",175,2021-03-25
"Lazio",943,2021-03-25
"Liguria",227,2021-03-25
"Lombardia",1459,2021-03-25
"Marche",196,2021-03-25
"Molise",34,2021-03-25
"Piemonte",628,2021-03-25
"Puglia",452,2021-03-25
"Sardegna",181,2021-03-25
"Sicilia",832,2021-03-25
"Toscana",612,2021-03-25
"Trentino-Alto Adige",167,2021-03-25
"Umbria",130,2021-03-25
"Valle d'Aosta",33,2021-03-25
"Veneto",1000,2021-03-25
"Abruzzo",183,2021-03-26
"Basilicata",90,2021-03-26
"Calabria",152,2021-03-26
"Campania",590,2021-03-26
"Emilia-Romagna",747,2021-03-26
"Friuli Venezia Giulia",175,2021-03-26
"Lazio",943,2021-03-26
"Liguria",227,2021-03-26
"Lombardia",1459,2021-03-26
"Marche",196,2021-03-26
"Molise",34,2021-03-26
"Piemonte",628,2021-03-26
"Puglia",452,2021-03-26
"Sardegna",181,2021-03-26
"Sicilia",832,2021-03-26
"Toscana",612,2021-03-26
"Trentino-Alto Adige",167,2021-03-26
"Umbria",130,2021-03-26
"Valle d'Aosta",33,2021-03-26
"Veneto",1000,2021-03-26
"Abruzzo",183,2021-03-27
"Basilicata",90,2021-03-27
"Calabria",152,2021-03-27
"Campania",590,2021-03-27
"Emilia-Romagna",747,2021-03-27
"Friuli Venezia Giulia",175,2021-03-27
"Lazio",943,2021-03-27
"Liguria",227,2021-03-27
"Lombardia",1459,2021-03-27
"Marche",196,2021-03-27
"Molise",34,2021-03-27
"Piemonte",628,2021-03-27
"Puglia",452,2021-03-27
"Sardegna",181,2021-03-27
"Sicilia",832,2021-03-27
"Toscana",612,2021-03-27
"Trentino-Alto Adige",167,2021-03-27
"Umbria",130,2021-03-27
"Valle d'Aosta",33,2021-03-27
"Veneto",1000,2021-03-27
"Abruzzo",183,2021-03-28
"Basilicata",90,2021-03-28
"Calabria",152,2021-03-28
"Campania",590,2021-03-28
"Emilia-Romagna",747,2021-03-28
"Friuli Venezia Giulia",175,2021-03-28
"Lazio",943,2021-03-28
"Liguria",227,2021-03-28
"Lombardia",1459,2021-03-28
"Marche",196,2021-03-28
"Molise",34,2021-03-28
"Piemonte",628,2021-03-28
"Puglia",452,2021-03-28
"Sardegna",181,2021-03-28
"Sicilia",832,2021-03-28
"Toscana",612,2021-03-28
"Trentino-Alto Adige",167,2021-03-28
"Umbria",130,2021-03-28
"Valle d'Aosta",33,2021-03-28
"Veneto",1000,2021-03-28
"Abruzzo",183,2021-03-29
"Basilicata",90,2021-03-29
"Calabria",152,2021-03-29
"Campania",590,2021-03-29
"Emilia-Romagna",747,2021-03-29
"Friuli Venezia Giulia",175,2021-03-29
"Lazio",943,2021-03-29
"Liguria",227,2021-03-29
"Lombardia",1459,2021-03-29
"Marche",196,2021-03-29
"Molise",34,2021-03-29
"Piemonte",628,2021-03-29
"Puglia",452,2021-03-29
"Sardegna",181,2021-03-29
"Sicilia",832,2021-03-29
"Toscana",612,2021-03-29
"Trentino-Alto Adige",167,2021-03-29
"Umbria",130,2021-03-29
"Valle d'Aosta",33,2021-03-29
"Veneto",1000,2021-03-29
"Abruzzo",183,2021-03-30
"Basilicata",90,2021-03-30
"Calabria",152,2021-03-30
"Campania",590,2021-03-30
"Emilia-Romagna",747,2021-03-30
"Friuli Venezia Giulia",175,2021-03-30
"Lazio",943,2021-03-30
"Liguria",227,2021-03-30
"Lombardia",1459,2021-03-30
"Marche",196,2021-03-30
"Molise",34,2021-03-30
"Piemonte",628,2021-03-30
"Puglia",452,2021-03-30
"Sardegna",181,2021-03-30
"Sicilia",832,2021-03-30
"Toscana",612,2021-03-30
"Trentino-Alto Adige",167,2021-03-30
"Umbria",130,2021-03-30
"Valle d'Aosta",33,2021-03-30
"Veneto",1000,2021-03-30
"Abruzzo",183,2021-03-31
"Basilicata",90,2021-03-31
"Calabria",152,2021-03-31
"Campania",590,2021-03-31
"Emilia-Romagna",747,2021-03-31
"Friuli Venezia Giulia",175,2021-03-31
"Lazio",943,2021-03-31
"Liguria",227,2021-03-31
"Lombardia",1459,2021-03-31
"Marche",196,2021-03-31
"Molise",34,2021-03-31
"Piemonte",628,2021-03-31
"Puglia",452,2021-03-31
"Sardegna",181,2021-03-31
"Sicilia",832,2021-03-31
"Toscana",612,2021-03-31
"Trentino-Alto Adige",167,2021-03-31
"Umbria",130,2021-03-31
